Android 14 (API 34)
============================================================
int     APP_OP_ (AppProtoEnums)                                 OPSTR_ string                                           中文说明
44      APP_OP_MUTE_MICROPHONE                                  android:mute_microphone                                 静音麦克风
45      APP_OP_TOAST_WINDOW                                     android:toast_window                                    显示Toast弹窗
46      APP_OP_PROJECT_MEDIA                                    android:project_media                                   投影/屏幕共享
47      APP_OP_ACTIVATE_VPN                                     android:activate_vpn                                    激活VPN
48      APP_OP_WRITE_WALLPAPER                                  android:write_wallpaper                                 设置壁纸
49      APP_OP_ASSIST_STRUCTURE                                 android:assist_structure                                访问辅助结构（界面内容）
50      APP_OP_ASSIST_SCREENSHOT                                android:assist_screenshot                               辅助截图
51      APP_OP_READ_PHONE_STATE                                 android:read_phone_state                                读取电话状态（IMEI等）
52      APP_OP_ADD_VOICEMAIL                                    android:add_voicemail                                   添加语音邮件
53      APP_OP_USE_SIP                                          android:use_sip                                         使用SIP网络通话
54      APP_OP_PROCESS_OUTGOING_CALLS                           android:process_outgoing_calls                          处理去电（可拦截/修改号码）
55      APP_OP_USE_FINGERPRINT                                  android:use_fingerprint                                 使用指纹识别
56      APP_OP_BODY_SENSORS                                     android:body_sensors                                    访问身体传感器（心率等）
57      APP_OP_READ_CELL_BROADCASTS                             android:read_cell_broadcasts                            读取小区广播
58      APP_OP_MOCK_LOCATION                                    android:mock_location                                   模拟虚假位置
59      APP_OP_READ_EXTERNAL_STORAGE                            android:read_external_storage                           读取外部存储
60      APP_OP_WRITE_EXTERNAL_STORAGE                           android:write_external_storage                          写入外部存储
61      APP_OP_TURN_SCREEN_ON                                   android:turn_screen_on                                  点亮屏幕
62      APP_OP_GET_ACCOUNTS                                     android:get_accounts                                    获取账户列表
63      APP_OP_RUN_IN_BACKGROUND                                android:run_in_background                               后台运行
64      APP_OP_AUDIO_ACCESSIBILITY_VOLUME                       android:audio_accessibility_volume                      调整无障碍音量
65      APP_OP_READ_PHONE_NUMBERS                               android:read_phone_numbers                              读取手机号码
66      APP_OP_REQUEST_INSTALL_PACKAGES                         android:request_install_packages                        安装未知来源应用
67      APP_OP_PICTURE_IN_PICTURE                               android:picture_in_picture                              画中画模式
68      APP_OP_INSTANT_APP_START_FOREGROUND                     android:instant_app_start_foreground                    免安装应用前台启动
69      APP_OP_ANSWER_PHONE_CALLS                               android:answer_phone_calls                              接听电话
70      APP_OP_RUN_ANY_IN_BACKGROUND                            android:run_any_in_background                           不受限后台运行
71      APP_OP_CHANGE_WIFI_STATE                                android:change_wifi_state                               修改WiFi状态
72      APP_OP_REQUEST_DELETE_PACKAGES                          android:request_delete_packages                         请求卸载应用
73      APP_OP_BIND_ACCESSIBILITY_SERVICE                       android:bind_accessibility_service                      绑定无障碍服务
74      APP_OP_ACCEPT_HANDOVER                                  android:accept_handover                                 接受通话切换（跨设备）
75      APP_OP_MANAGE_IPSEC_TUNNELS                             android:manage_ipsec_tunnels                            管理IPSec隧道
76      APP_OP_START_FOREGROUND                                 android:start_foreground                                启动前台服务
77      APP_OP_BLUETOOTH_SCAN                                   android:bluetooth_scan                                  扫描蓝牙设备
78      APP_OP_USE_BIOMETRIC                                    android:use_biometric                                   使用生物识别（指纹/人脸）
79      APP_OP_ACTIVITY_RECOGNITION                             android:activity_recognition                            识别用户活动（步行/驾车等）
80      APP_OP_SMS_FINANCIAL_TRANSACTIONS                       android:sms_financial_transactions                      读取金融类短信
81      APP_OP_READ_MEDIA_AUDIO                                 android:read_media_audio                                读取媒体音频文件
82      APP_OP_WRITE_MEDIA_AUDIO                                android:write_media_audio                               写入媒体音频文件
83      APP_OP_READ_MEDIA_VIDEO                                 android:read_media_video                                读取媒体视频文件
84      APP_OP_WRITE_MEDIA_VIDEO                                android:write_media_video                               写入媒体视频文件
85      APP_OP_READ_MEDIA_IMAGES                                android:read_media_images                               读取媒体图片文件
86      APP_OP_WRITE_MEDIA_IMAGES                               android:write_media_images                              写入媒体图片文件
87      APP_OP_LEGACY_STORAGE                                   android:legacy_storage                                  使用旧版存储模式（非分区存储）
88      APP_OP_ACCESS_ACCESSIBILITY                             android:access_accessibility                            访问无障碍服务
89      APP_OP_READ_DEVICE_IDENTIFIERS                          android:read_device_identifiers                         读取设备标识符（IMEI/序列号等）
90      APP_OP_ACCESS_MEDIA_LOCATION                            android:access_media_location                           访问媒体文件地理位置信息
91      APP_OP_QUERY_ALL_PACKAGES                               android:query_all_packages                              查询所有已安装应用列表
92      APP_OP_MANAGE_EXTERNAL_STORAGE                          android:manage_external_storage                         管理所有外部存储文件
93      APP_OP_INTERACT_ACROSS_PROFILES                         android:interact_across_profiles                        跨用户配置文件交互
94      APP_OP_ACTIVATE_PLATFORM_VPN                            android:activate_platform_vpn                           激活平台VPN
95      APP_OP_LOADER_USAGE_STATS                               android:loader_usage_stats                              访问Loader使用统计
96      APP_OP_DEPRECATED_1                                     ?                                                       已废弃
97      APP_OP_AUTO_REVOKE_PERMISSIONS_IF_UNUSED                android:auto_revoke_permissions_if_unused               长期未用自动撤销权限
98      APP_OP_AUTO_REVOKE_MANAGED_BY_INSTALLER                 android:auto_revoke_managed_by_installer                由安装来源管理自动撤销
99      APP_OP_NO_ISOLATED_STORAGE                              android:no_isolated_storage                             禁用隔离存储
100     APP_OP_PHONE_CALL_MICROPHONE                            android:phone_call_microphone                           通话中使用麦克风
101     APP_OP_PHONE_CALL_CAMERA                                android:phone_call_camera                               通话中使用摄像头（视频通话）
102     APP_OP_RECORD_AUDIO_HOTWORD                             android:record_audio_hotword                            热词唤醒录音（如语音助手待机监听）
103     APP_OP_MANAGE_ONGOING_CALLS                             android:manage_ongoing_calls                            管理进行中的通话
104     APP_OP_MANAGE_CREDENTIALS                               android:manage_credentials                              管理账户凭证
105     APP_OP_USE_ICC_AUTH_WITH_DEVICE_IDENTIFIER              android:use_icc_auth_with_device_identifier             使用SIM卡认证结合设备标识符
106     APP_OP_RECORD_AUDIO_OUTPUT                              android:record_audio_output                             录制音频输出（系统声音）
107     APP_OP_SCHEDULE_EXACT_ALARM                             android:schedule_exact_alarm                            设置精确闹钟/定时任务
108     APP_OP_FINE_LOCATION_SOURCE                             android:fine_location_source                            精确位置数据来源标记
109     APP_OP_COARSE_LOCATION_SOURCE                           android:coarse_location_source                          粗略位置数据来源标记
110     APP_OP_MANAGE_MEDIA                                     android:manage_media                                    管理媒体文件（删除他人文件）
111     APP_OP_BLUETOOTH_CONNECT                                android:bluetooth_connect                               连接蓝牙设备
112     APP_OP_UWB_RANGING                                      android:uwb_ranging                                     UWB超宽带测距
113     APP_OP_ACTIVITY_RECOGNITION_SOURCE                      android:activity_recognition_source                     活动识别数据来源标记
114     APP_OP_BLUETOOTH_ADVERTISE                              android:bluetooth_advertise                             蓝牙广播（BLE广播）
115     APP_OP_RECORD_INCOMING_PHONE_AUDIO                      android:record_incoming_phone_audio                     录制来电通话音频
116     APP_OP_NEARBY_WIFI_DEVICES                              android:nearby_wifi_devices                             发现附近WiFi设备
117     APP_OP_ESTABLISH_VPN_SERVICE                            android:establish_vpn_service                           建立VPN服务连接
118     APP_OP_ESTABLISH_VPN_MANAGER                            android:establish_vpn_manager                           建立VPN Manager连接
119     APP_OP_ACCESS_RESTRICTED_SETTINGS                       android:access_restricted_settings                      访问受限系统设置
120     APP_OP_RECEIVE_AMBIENT_TRIGGER_AUDIO                    android:receive_ambient_trigger_audio                   接收环境音触发音频（环境声唤醒）
121     APP_OP_RECEIVE_EXPLICIT_USER_INTERACTION_AUDIO          android:receive_explicit_user_interaction_audio         接收用户主动交互音频
122     APP_OP_RUN_USER_INITIATED_JOBS                          android:run_user_initiated_jobs                         运行用户发起的后台任务
123     APP_OP_READ_MEDIA_VISUAL_USER_SELECTED                  android:read_media_visual_user_selected                 读取用户选择的图片/视频（部分授权）
124     APP_OP_SYSTEM_EXEMPT_FROM_SUSPENSION                    android:system_exempt_from_suspension                   系统豁免：不被挂起
125     APP_OP_SYSTEM_EXEMPT_FROM_DISMISSIBLE_NOTIFICATIONS     android:system_exempt_from_dismissible_notifications    系统豁免：通知不可被用户关闭
126     APP_OP_READ_WRITE_HEALTH_DATA                           android:read_write_health_data                          读写健康数据（Health Connect）
127     APP_OP_FOREGROUND_SERVICE_SPECIAL_USE                   android:foreground_service_special_use                  特殊用途前台服务
128     APP_OP_SYSTEM_EXEMPT_FROM_POWER_RESTRICTIONS            android:system_exempt_from_power_restrictions           系统豁免：不受电量限制
129     APP_OP_SYSTEM_EXEMPT_FROM_HIBERNATION                   android:system_exempt_from_hibernation                  系统豁免：不被休眠
130     APP_OP_SYSTEM_EXEMPT_FROM_ACTIVITY_BG_START_RESTRICTION android:system_exempt_from_activity_bg_start_restriction系统豁免：不受后台启动Activity限制
131     APP_OP_CAPTURE_CONSENTLESS_BUGREPORT_ON_USERDEBUG_BUILD android:capture_consentless_bugreport_on_userdebug_build在userdebug版本上无需同意即可抓取Bug报告
132     APP_OP_BODY_SENSORS_WRIST_TEMPERATURE                   android:deprecated_2                                    手腕温度传感器（已废弃）
133     APP_OP_USE_FULL_SCREEN_INTENT                           android:use_full_screen_intent                          使用全屏Intent（来电/闹钟全屏显示）
134     APP_OP_CAMERA_SANDBOXED                                 android:camera_sandboxed                                沙盒化摄像头访问
135     APP_OP_RECORD_AUDIO_SANDBOXED                           android:record_audio_sandboxed                          沙盒化音频录制
